,p,r,f,s
person.name,0.5952380952380952,0.7352941176470589,0.6578947368421053,34
movie.release_region,1.0,0.0,0.0,4
movie.star_rating,1.0,0.0,0.0,1
producer.name,0.796875,0.6986301369863014,0.7445255474452555,73
movie.gross_revenue,0.2,0.2,0.20000000000000004,5
award.ceremony,1.0,0.0,0.0,7
country.name,0.5833333333333334,0.7903225806451613,0.6712328767123289,62
director.nationality,1.0,0.0,0.0,1
actor.type,1.0,0.0,0.0,2
movie.language,0.8148148148148148,0.6376811594202898,0.7154471544715448,69
movie.genre,0.96,0.6666666666666666,0.7868852459016393,36
rating.name,0.9206349206349206,0.9508196721311475,0.9354838709677418,61
director.name,0.686046511627907,0.7283950617283951,0.7065868263473054,81
movie.type,1.0,0.0,0.0,4
award.category,1.0,0.0,0.0,2
movie.name,0.7867924528301887,0.8816067653276956,0.8315054835493519,473
movie.release_date,0.47368421052631576,0.6206896551724138,0.5373134328358208,29
character.name,0.4375,0.4666666666666667,0.45161290322580644,15
movie.subject,0.6666666666666666,0.8181818181818182,0.7346938775510203,44
movie.location,1.0,0.0,0.0,7
actor.nationality,0.5,1.0,0.6666666666666666,1
actor.name,0.6774193548387096,0.7875,0.7283236994219653,80
total,0.7378892733564014,0.7818515123739689,0.7592345349354697,1091
